neighbourhood,price per night,price per year
Lower East Side,158,57670
East Village,174,63510
Sunnyside,65,23725
Hell's Kitchen,380,138700
Bedford-Stuyvesant,110,40150
Crown Heights,145,52925
Bedford-Stuyvesant,77,28105
Bedford-Stuyvesant,99,36135
Upper East Side,89,32485
Upper East Side,98,35770
Murray Hill,305,111325
Hell's Kitchen,75,27375
Hell's Kitchen,70,25550
Flatbush,68,24820
Clinton Hill,450,164250
Crown Heights,40,14600
East New York,75,27375
Bedford-Stuyvesant,50,18250
Nolita,200,73000
Flatiron District,290,105850
Norwood,50,18250
Canarsie,175,63875
Bay Ridge,125,45625
Chelsea,96,35040
Gramercy,250,91250
Upper East Side,135,49275
Williamsburg,140,51100
Bushwick,45,16425
Williamsburg,75,27375
Midtown,220,80300
Chelsea,186,67890
Canarsie,70,25550
NoHo,175,63875
Park Slope,55,20075
Elmhurst,95,34675
Prospect Heights,640,233600
Flushing,278,101470
Upper West Side,125,45625
Harlem,150,54750
Elmhurst,65,23725
Bushwick,43,15695
Kensington,250,91250
Williamsburg,285,104025
Laurelton,65,23725
Inwood,85,31025
Gramercy,120,43800
Gramercy,165,60225
Williamsburg,39,14235
Washington Heights,39,14235
Bushwick,40,14600
Chelsea,250,91250
Red Hook,140,51100
Bay Ridge,60,21900
Williamsburg,250,91250
Upper East Side,200,73000
Astoria,135,49275
Woodside,120,43800
Bedford-Stuyvesant,48,17520
Long Island City,200,73000
Harlem,55,20075
East New York,86,31390
Roosevelt Island,130,47450
Bedford-Stuyvesant,112,40880
Flatbush,70,25550
SoHo,275,100375
Fort Greene,150,54750
Upper East Side,175,63875
Williamsburg,378,137970
Upper West Side,150,54750
Prospect-Lefferts Gardens,65,23725
Williamsbridge,85,31025
New Dorp,57,20805
Harlem,46,16790
Long Island City,190,69350
Roosevelt Island,70,25550
Williamsburg,60,21900
Morningside Heights,125,45625
Williamsburg,175,63875
Lower East Side,100,36500
West Village,245,89425
Bedford-Stuyvesant,68,24820
Williamsburg,85,31025
Park Slope,95,34675
Financial District,110,40150
Carroll Gardens,74,27010
East Harlem,53,19345
Washington Heights,45,16425
Bushwick,125,45625
East Village,95,34675
Bushwick,45,16425
Prospect Heights,250,91250
Two Bridges,300,109500
Fort Greene,148,54020
Long Island City,55,20075
Fordham,47,17155
Harlem,250,91250
Financial District,115,41975
Bushwick,55,20075
East New York,140,51100
Highbridge,240,87600
Murray Hill,140,51100
Forest Hills,120,43800
Clinton Hill,200,73000
Bushwick,50,18250
Bushwick,49,17885
Fort Greene,175,63875
Battery Park City,180,65700
Jamaica,70,25550
Harlem,400,146000
Greenwich Village,199,72635
East Harlem,194,70810
Chelsea,500,182500
Upper West Side,105,38325
Upper West Side,70,25550
Williamsburg,50,18250
Midtown,187,68255
Greenwich Village,250,91250
East Village,53,19345
Bushwick,50,18250
Prospect Heights,100,36500
Bushwick,65,23725
Lower East Side,110,40150
Flatbush,36,13140
Corona,40,14600
Chelsea,185,67525
Williamsburg,175,63875
Red Hook,65,23725
Crown Heights,42,15330
Crown Heights,25,9125
Crown Heights,72,26280
Upper West Side,45,16425
Crown Heights,77,28105
Upper West Side,120,43800
Prospect-Lefferts Gardens,70,25550
Corona,35,12775
West Village,200,73000
Ditmars Steinway,70,25550
Bedford-Stuyvesant,100,36500
Upper West Side,179,65335
Upper East Side,110,40150
Midtown,374,136510
Kips Bay,133,48545
Bedford-Stuyvesant,175,63875
Bedford-Stuyvesant,42,15330
Lower East Side,350,127750
Bayside,200,73000
Bushwick,65,23725
Williamsburg,55,20075
Prospect-Lefferts Gardens,150,54750
Harlem,115,41975
Hell's Kitchen,75,27375
Flatbush,62,22630
East Harlem,139,50735
Upper West Side,150,54750
Clinton Hill,75,27375
St. Albans,45,16425
Washington Heights,90,32850
Ditmars Steinway,113,41245
Williamsburg,100,36500
Fort Greene,186,67890
Sunnyside,60,21900
Woodlawn,34,12410
Hollis,72,26280
Crown Heights,42,15330
Williamsburg,250,91250
Midtown,120,43800
Midtown,120,43800
Midtown,107,39055
Midtown,137,50005
Midtown,163,59495
Midtown,153,55845
Midtown,120,43800
Midtown,137,50005
Midtown,120,43800
Midtown,163,59495
Midtown,153,55845
Midtown,137,50005
Midtown,120,43800
Midtown,208,75920
Midtown,153,55845
Midtown,163,59495
Park Slope,110,40150
Hell's Kitchen,400,146000
Washington Heights,65,23725
Spuyten Duyvil,360,131400
Morningside Heights,120,43800
Williamsburg,95,34675
Bushwick,50,18250
Williamsburg,65,23725
Olinville,26,9490
South Slope,189,68985
Williamsburg,60,21900
Greenpoint,150,54750
East Village,400,146000
Midtown,90,32850
Midtown,400,146000
Harlem,245,89425
Financial District,100,36500
Bedford-Stuyvesant,125,45625
Civic Center,220,80300
Williamsburg,49,17885
Ridgewood,55,20075
Fort Greene,250,91250
Gramercy,110,40150
Briarwood,45,16425
East Elmhurst,100,36500
Harlem,175,63875
Harlem,81,29565
Hell's Kitchen,75,27375
Bedford-Stuyvesant,37,13505
Bedford-Stuyvesant,32,11680
West Village,200,73000
Williamsburg,120,43800
Bedford-Stuyvesant,150,54750
Bedford-Stuyvesant,70,25550
Greenpoint,40,14600
Midtown,108,39420
Inwood,91,33215
Greenpoint,140,51100
Financial District,212,77380
Harlem,105,38325
Harlem,147,53655
Financial District,205,74825
Lower East Side,92,33580
East New York,139,50735
Astoria,100,36500
Harlem,55,20075
Chinatown,80,29200
Prospect-Lefferts Gardens,75,27375
Morrisania,40,14600
Williamsburg,400,146000
Financial District,205,74825
Harlem,70,25550
East Harlem,80,29200
Lower East Side,220,80300
Financial District,215,78475
Two Bridges,119,43435
Flatbush,44,16060
Hell's Kitchen,199,72635
Harlem,190,69350
Clinton Hill,45,16425
Long Island City,60,21900
East Village,178,64970
Prospect Heights,750,273750
Upper West Side,175,63875
Bedford-Stuyvesant,49,17885
Clinton Hill,130,47450
East Flatbush,135,49275
Glendale,100,36500
Astoria,325,118625
Crown Heights,150,54750
Flatbush,100,36500
Williamsburg,45,16425
Williamsburg,75,27375
East Harlem,30,10950
Bushwick,130,47450
Astoria,75,27375
Crown Heights,105,38325
Elmhurst,75,27375
Upper West Side,150,54750
Harlem,89,32485
Concourse Village,57,20805
Upper West Side,800,292000
Flushing,50,18250
East Village,325,118625
Williamsburg,300,109500
Upper West Side,219,79935
Long Island City,150,54750
Hell's Kitchen,99,36135
Richmond Hill,100,36500
East Harlem,250,91250
Harlem,150,54750
Bedford-Stuyvesant,112,40880
West Village,175,63875
Kips Bay,95,34675
Bedford-Stuyvesant,100,36500
Financial District,220,80300
Financial District,227,82855
West Village,280,102200
Williamsburg,750,273750
East Flatbush,55,20075
SoHo,165,60225
Midtown,200,73000
Midtown,159,58035
Upper West Side,200,73000
Harlem,93,33945
Flatbush,125,45625
Harlem,100,36500
Bushwick,105,38325
Bedford-Stuyvesant,99,36135
Wakefield,69,25185
Concourse Village,47,17155
Harlem,50,18250
Upper West Side,120,43800
Financial District,210,76650
Bushwick,84,30660
Astoria,89,32485
Greenpoint,90,32850
Financial District,222,81030
Upper East Side,100,36500
Financial District,227,82855
Williamsburg,220,80300
Chelsea,172,62780
Williamsburg,550,200750
Cypress Hills,800,292000
Upper East Side,162,59130
Forest Hills,175,63875
Flushing,149,54385
Flushing,149,54385
Williamsburg,190,69350
Lower East Side,600,219000
Williamsburg,96,35040
Williamsburg,125,45625
Upper East Side,166,60590
Bedford-Stuyvesant,45,16425
Prospect Heights,75,27375
East Harlem,30,10950
Jackson Heights,70,25550
Upper West Side,300,109500
Bedford-Stuyvesant,200,73000
Two Bridges,160,58400
Washington Heights,300,109500
Hell's Kitchen,90,32850
Hell's Kitchen,375,136875
Bushwick,100,36500
East Flatbush,50,18250
East Village,89,32485
Harlem,60,21900
Bushwick,100,36500
Greenpoint,65,23725
Flushing,100,36500
Prospect-Lefferts Gardens,125,45625
Flushing,100,36500
Greenpoint,35,12775
Flushing,85,31025
Williamsburg,86,31390
East Flatbush,30,10950
Upper West Side,600,219000
Harlem,99,36135
Washington Heights,50,18250
Harlem,270,98550
Jackson Heights,195,71175
Lower East Side,110,40150
Harlem,80,29200
East Harlem,85,31025
East Village,125,45625
Williamsburg,190,69350
Bushwick,75,27375
Columbia St,55,20075
Crown Heights,35,12775
Greenpoint,48,17520
Hell's Kitchen,129,47085
Theater District,139,50735
Hell's Kitchen,129,47085
SoHo,400,146000
West Village,240,87600
Bedford-Stuyvesant,85,31025
Astoria,105,38325
Williamsburg,600,219000
Williamsburg,110,40150
Williamsburg,280,102200
Bushwick,75,27375
Bedford-Stuyvesant,50,18250
Crown Heights,40,14600
Astoria,60,21900
Little Italy,375,136875
Upper West Side,30,10950
Prospect-Lefferts Gardens,45,16425
Bedford-Stuyvesant,100,36500
Bushwick,67,24455
East Village,200,73000
Harlem,65,23725
Grymes Hill,110,40150
South Slope,49,17885
Harlem,39,14235
Chelsea,199,72635
Woodside,65,23725
Harlem,45,16425
Hell's Kitchen,196,71540
Crown Heights,65,23725
Bedford-Stuyvesant,47,17155
Elmhurst,110,40150
Murray Hill,240,87600
Harlem,45,16425
East Flatbush,225,82125
Williamsburg,200,73000
Carroll Gardens,45,16425
Theater District,171,62415
Chelsea,70,25550
Stuyvesant Town,170,62050
Long Island City,125,45625
Prospect-Lefferts Gardens,45,16425
Tribeca,150,54750
Sunset Park,106,38690
South Slope,80,29200
Ridgewood,50,18250
Ridgewood,50,18250
Bay Ridge,90,32850
Bedford-Stuyvesant,60,21900
Williamsburg,154,56210
Upper West Side,80,29200
Kingsbridge,65,23725
Kingsbridge,65,23725
East Village,149,54385
Williamsburg,66,24090
Midwood,150,54750
Nolita,2990,1091350
Bushwick,69,25185
Bedford-Stuyvesant,30,10950
Greenpoint,65,23725
Bushwick,31,11315
Bedford-Stuyvesant,120,43800
Lower East Side,140,51100
Park Slope,55,20075
Flushing,50,18250
Williamsburg,60,21900
Financial District,179,65335
Astoria,45,16425
Financial District,187,68255
Washington Heights,50,18250
Financial District,179,65335
Williamsburg,249,90885
Financial District,182,66430
Bedford-Stuyvesant,40,14600
Astoria,60,21900
Astoria,50,18250
Bedford-Stuyvesant,175,63875
Gowanus,195,71175
Bedford-Stuyvesant,40,14600
University Heights,60,21900
Midwood,75,27375
East Flatbush,40,14600
Williamsburg,150,54750
Hell's Kitchen,115,41975
Upper West Side,72,26280
Bedford-Stuyvesant,95,34675
Bedford-Stuyvesant,100,36500
Bedford-Stuyvesant,75,27375
West Village,250,91250
Chinatown,1000,365000
Bushwick,60,21900
West Village,163,59495
Hell's Kitchen,75,27375
Bushwick,48,17520
Gowanus,100,36500
Bedford-Stuyvesant,125,45625
Midtown,339,123735
Flatbush,40,14600
South Ozone Park,60,21900
Midtown,339,123735
South Ozone Park,65,23725
Midtown,269,98185
Midtown,269,98185
Midtown,269,98185
East Harlem,300,109500
Midtown,180,65700
Hell's Kitchen,200,73000
Midtown,63,22995
Harlem,65,23725
Hell's Kitchen,300,109500
Bedford-Stuyvesant,100,36500
Park Slope,95,34675
Morris Park,190,69350
Boerum Hill,300,109500
Long Island City,231,84315
Bedford-Stuyvesant,125,45625
Sunset Park,45,16425
Upper West Side,64,23360
Bedford-Stuyvesant,150,54750
Sunset Park,50,18250
Midtown,115,41975
Gravesend,29,10585
Jackson Heights,50,18250
Upper East Side,105,38325
Flushing,40,14600
Flushing,50,18250
East Harlem,199,72635
Flushing,49,17885
Williamsburg,105,38325
Bedford-Stuyvesant,50,18250
Bushwick,45,16425
Greenpoint,95,34675
East Flatbush,47,17155
Inwood,100,36500
Greenpoint,65,23725
Hell's Kitchen,105,38325
Flatbush,50,18250
Flatbush,175,63875
Downtown Brooklyn,195,71175
Williamsburg,225,82125
South Ozone Park,75,27375
Bedford-Stuyvesant,45,16425
Upper East Side,125,45625
Midwood,75,27375
Bushwick,60,21900
Upper East Side,148,54020
Bedford-Stuyvesant,50,18250
Boerum Hill,150,54750
East Village,1000,365000
Sunset Park,135,49275
Midwood,140,51100
Upper East Side,159,58035
East Harlem,50,18250
Longwood,44,16060
Harlem,49,17885
East Village,600,219000
Williamsburg,70,25550
Battery Park City,295,107675
Bushwick,200,73000
Canarsie,49,17885
Greenpoint,175,63875
Bedford-Stuyvesant,45,16425
Crown Heights,35,12775
Bedford-Stuyvesant,180,65700
East Village,100,36500
Canarsie,155,56575
Upper East Side,80,29200
East Harlem,70,25550
Maspeth,38,13870
Inwood,70,25550
Astoria,38,13870
Upper West Side,75,27375
Upper East Side,120,43800
Upper West Side,200,73000
Williamsburg,160,58400
Rosedale,28,10220
Chinatown,210,76650
Queens Village,37,13505
South Slope,120,43800
Crown Heights,77,28105
Financial District,80,29200
Park Slope,150,54750
Williamsburg,124,45260
Bushwick,30,10950
Harlem,65,23725
Harlem,65,23725
Bushwick,55,20075
Harlem,90,32850
Clinton Hill,225,82125
Long Island City,48,17520
Harlem,39,14235
Bedford-Stuyvesant,88,32120
East Flatbush,159,58035
Bushwick,99,36135
Elmhurst,40,14600
Ditmars Steinway,35,12775
Prospect-Lefferts Gardens,115,41975
Midtown,620,226300
Harlem,75,27375
Tompkinsville,37,13505
SoHo,200,73000
Bushwick,75,27375
New Springville,50,18250
Crown Heights,120,43800
East Village,95,34675
Canarsie,80,29200
Kew Gardens,50,18250
Canarsie,55,20075
Washington Heights,48,17520
Bedford-Stuyvesant,100,36500
Brighton Beach,99,36135
East Harlem,74,27010
Bushwick,65,23725
Prospect Heights,158,57670
New Brighton,40,14600
Midtown,119,43435
Rockaway Beach,325,118625
East Village,215,78475
Bensonhurst,120,43800
East Flatbush,65,23725
Crown Heights,90,32850
Elmhurst,230,83950
Elmhurst,188,68620
East Harlem,140,51100
Jamaica,60,21900
Clinton Hill,95,34675
Greenwich Village,100,36500
East Village,175,63875
Bedford-Stuyvesant,45,16425
Fort Greene,70,25550
East Harlem,60,21900
Upper West Side,95,34675
Fort Hamilton,70,25550
East Village,119,43435
Williamsburg,120,43800
East Harlem,115,41975
Upper East Side,125,45625
Bedford-Stuyvesant,45,16425
Hell's Kitchen,89,32485
Williamsburg,75,27375
Tribeca,240,87600
East Flatbush,199,72635
Bedford-Stuyvesant,40,14600
Ditmars Steinway,100,36500
Bushwick,60,21900
Bushwick,45,16425
Mott Haven,50,18250
Bedford-Stuyvesant,175,63875
Flushing,60,21900
Astoria,99,36135
Williamsburg,70,25550
Upper West Side,260,94900
Flushing,159,58035
Clifton,60,21900
Morningside Heights,100,36500
East Village,78,28470
Bushwick,180,65700
Upper West Side,80,29200
Williamsburg,250,91250
Boerum Hill,50,18250
Boerum Hill,118,43070
Astoria,42,15330
Harlem,69,25185
Bushwick,42,15330
Midtown,100,36500
Hell's Kitchen,110,40150
Bedford-Stuyvesant,155,56575
Forest Hills,150,54750
Greenwich Village,119,43435
Chelsea,89,32485
Upper East Side,399,145635
Washington Heights,275,100375
Crown Heights,150,54750
Little Italy,140,51100
Kips Bay,199,72635
Harlem,65,23725
East Harlem,100,36500
Ditmars Steinway,103,37595
Little Italy,649,236885
Harlem,85,31025
Kingsbridge,79,28835
Bedford-Stuyvesant,96,35040
Williamsburg,70,25550
Boerum Hill,57,20805
Marble Hill,274,100010
Upper East Side,250,91250
Bedford-Stuyvesant,90,32850
Crown Heights,100,36500
Kips Bay,412,150380
Kips Bay,412,150380
Kips Bay,412,150380
Glendale,50,18250
West Village,148,54020
Bedford-Stuyvesant,120,43800
Woodside,41,14965
Harlem,70,25550
East Harlem,90,32850
Harlem,99,36135
Upper West Side,10,3650
Forest Hills,69,25185
Harlem,54,19710
Pelham Gardens,35,12775
Bushwick,39,14235
Washington Heights,82,29930
Prospect-Lefferts Gardens,40,14600
Chinatown,148,54020
Rosedale,60,21900
Bedford-Stuyvesant,130,47450
Concourse,95,34675
East Harlem,65,23725
Midwood,20,7300
Arverne,190,69350
Bushwick,60,21900
Bedford-Stuyvesant,55,20075
Bedford-Stuyvesant,49,17885
Upper East Side,100,36500
Kensington,52,18980
Kingsbridge,35,12775
Flushing,45,16425
Bushwick,41,14965
Hell's Kitchen,275,100375
Financial District,265,96725
Upper West Side,250,91250
SoHo,130,47450
Morningside Heights,55,20075
Midtown,365,133225
Bushwick,70,25550
East Harlem,30,10950
Hell's Kitchen,225,82125
East Village,650,237250
Williamsburg,95,34675
East Village,500,182500
Williamsburg,244,89060
East Village,750,273750
Vinegar Hill,46,16790
Morrisania,40,14600
Upper West Side,140,51100
Harlem,1500,547500
Upper East Side,140,51100
Williamsburg,199,72635
Harlem,80,29200
South Ozone Park,69,25185
Nolita,188,68620
Upper East Side,100,36500
Bedford-Stuyvesant,235,85775
Upper East Side,165,60225
Jamaica,55,20075
Harlem,65,23725
Crown Heights,70,25550
Hell's Kitchen,125,45625
Williamsburg,90,32850
Bedford-Stuyvesant,56,20440
Midtown,394,143810
Boerum Hill,172,62780
Carroll Gardens,100,36500
Upper East Side,80,29200
Hell's Kitchen,142,51830
Prospect Heights,220,80300
West Village,264,96360
Long Island City,150,54750
Williamsburg,200,73000
Bushwick,45,16425
Prospect Heights,150,54750
Midtown,160,58400
Jackson Heights,135,49275
Flushing,55,20075
Bedford-Stuyvesant,50,18250
Theater District,89,32485
Ridgewood,49,17885
Midtown,185,67525
West Village,180,65700
Bedford-Stuyvesant,70,25550
Gowanus,450,164250
Upper West Side,110,40150
Brighton Beach,125,45625
Bedford-Stuyvesant,72,26280
Bedford-Stuyvesant,80,29200
Bushwick,44,16060
Sunset Park,45,16425
Bedford-Stuyvesant,71,25915
Bushwick,60,21900
Bushwick,65,23725
Chinatown,300,109500
Cypress Hills,99,36135
Bedford-Stuyvesant,79,28835
Midtown,339,123735
Ridgewood,58,21170
Fort Greene,90,32850
Murray Hill,175,63875
Battery Park City,158,57670
Upper East Side,145,52925
Bedford-Stuyvesant,60,21900
Midtown,99,36135
Williamsburg,80,29200
Greenpoint,85,31025
East Village,115,41975
Washington Heights,52,18980
Ridgewood,280,102200
Chelsea,250,91250
Harlem,55,20075
Harlem,100,36500
Fort Greene,195,71175
East Harlem,80,29200
East Harlem,100,36500
Bedford-Stuyvesant,55,20075
Harlem,120,43800
Hell's Kitchen,300,109500
Midtown,339,123735
Park Slope,140,51100
Harlem,53,19345
Elmhurst,21,7665
Prospect-Lefferts Gardens,125,45625
Bedford-Stuyvesant,47,17155
Upper West Side,180,65700
Bedford-Stuyvesant,58,21170
Bedford-Stuyvesant,58,21170
SoHo,150,54750
Hell's Kitchen,120,43800
Bushwick,47,17155
Hell's Kitchen,288,105120
Bushwick,65,23725
Prospect Heights,300,109500
Financial District,104,37960
Williamsburg,160,58400
Bushwick,250,91250
East Harlem,186,67890
Williamsburg,73,26645
Upper West Side,195,71175
Midtown,200,73000
Bushwick,100,36500
Greenpoint,300,109500
Navy Yard,150,54750
Upper East Side,190,69350
Williamsburg,75,27375
Kips Bay,81,29565
Mount Eden,25,9125
Lower East Side,275,100375
Long Island City,60,21900
Greenpoint,180,65700
Bedford-Stuyvesant,90,32850
Upper East Side,222,81030
Fort Greene,95,34675
Ditmars Steinway,70,25550
Sunset Park,125,45625
Williamsburg,173,63145
Williamsburg,220,80300
Greenwich Village,148,54020
Harlem,75,27375
Nolita,199,72635
Harlem,54,19710
Midtown,150,54750
Upper West Side,153,55845
Bedford-Stuyvesant,99,36135
Washington Heights,65,23725
Ridgewood,50,18250
Crown Heights,45,16425
East Village,100,36500
Williamsburg,62,22630
Chinatown,77,28105
Williamsburg,46,16790
Upper West Side,95,34675
Greenwich Village,159,58035
West Village,300,109500
Bedford-Stuyvesant,103,37595
Nolita,200,73000
Kips Bay,102,37230
Flatbush,350,127750
Far Rockaway,425,155125
East Flatbush,45,16425
Bedford-Stuyvesant,168,61320
East Flatbush,40,14600
Washington Heights,55,20075
Upper East Side,150,54750
Williamsburg,79,28835
Flatbush,65,23725
Chelsea,70,25550
Williamsburg,199,72635
Flushing,45,16425
Bedford-Stuyvesant,70,25550
Bedford-Stuyvesant,60,21900
Financial District,194,70810
Bedford-Stuyvesant,59,21535
Bedford-Stuyvesant,49,17885
Flushing,65,23725
East Harlem,165,60225
Carroll Gardens,80,29200
Arverne,175,63875
Arverne,95,34675
Chinatown,100,36500
Arverne,95,34675
Canarsie,54,19710
Hell's Kitchen,299,109135
Bedford-Stuyvesant,45,16425
Chelsea,250,91250
Astoria,120,43800
Financial District,105,38325
Hell's Kitchen,299,109135
Bedford-Stuyvesant,130,47450
Ridgewood,90,32850
Clinton Hill,62,22630
Williamsburg,70,25550
Hell's Kitchen,225,82125
Upper West Side,95,34675
Rego Park,288,105120
Lower East Side,149,54385
Gowanus,95,34675
Prospect-Lefferts Gardens,150,54750
West Village,200,73000
Woodside,150,54750
Harlem,175,63875
Jamaica,180,65700
Concourse Village,70,25550
Upper East Side,100,36500
Astoria,79,28835
Midtown,350,127750
Ridgewood,75,27375
Hell's Kitchen,235,85775
Astoria,39,14235
Hell's Kitchen,300,109500
Elmhurst,50,18250
Midtown,130,47450
Murray Hill,130,47450
Greenwich Village,250,91250
Sunset Park,120,43800
Astoria,450,164250
Fort Hamilton,47,17155
East Village,115,41975
Harlem,100,36500
Williamsburg,120,43800
Kingsbridge,65,23725
Kingsbridge,79,28835
Lower East Side,89,32485
Chinatown,300,109500
East Village,220,80300
Upper West Side,265,96725
Richmond Hill,300,109500
Bedford-Stuyvesant,150,54750
Lower East Side,150,54750
Chelsea,150,54750
Sunnyside,46,16790
Greenpoint,68,24820
Upper West Side,55,20075
Upper West Side,65,23725
Upper West Side,70,25550
Upper West Side,65,23725
East Village,310,113150
Wakefield,88,32120
Washington Heights,50,18250
East Flatbush,250,91250
East Harlem,80,29200
East Village,80,29200
Bedford-Stuyvesant,130,47450
Greenpoint,130,47450
Ditmars Steinway,100,36500
East Harlem,250,91250
Long Island City,200,73000
Crown Heights,54,19710
Williamsburg,65,23725
Hell's Kitchen,120,43800
Morningside Heights,95,34675
Fresh Meadows,50,18250
Upper West Side,299,109135
Richmond Hill,138,50370
Jackson Heights,42,15330
Hell's Kitchen,175,63875
Bedford-Stuyvesant,85,31025
Astoria,74,27010
Sheepshead Bay,65,23725
Bushwick,47,17155
Bushwick,85,31025
Lower East Side,975,355875
Crown Heights,130,47450
East Flatbush,70,25550
East Harlem,70,25550
Rockaway Beach,179,65335
Crown Heights,300,109500
Bushwick,150,54750
Bushwick,99,36135
Washington Heights,125,45625
Upper East Side,170,62050
Lower East Side,89,32485
Williamsburg,50,18250
Upper West Side,90,32850
Williamsburg,80,29200
Upper East Side,168,61320
Bushwick,100,36500
Upper East Side,118,43070
Washington Heights,150,54750
Inwood,120,43800
Upper East Side,175,63875
Clinton Hill,190,69350
East Harlem,195,71175
Bedford-Stuyvesant,112,40880
Harlem,450,164250
Upper East Side,200,73000
Williamsburg,45,16425
Lower East Side,150,54750
Bushwick,99,36135
Greenpoint,100,36500
Washington Heights,50,18250
Roosevelt Island,220,80300
Bedford-Stuyvesant,123,44895
Bedford-Stuyvesant,110,40150
East Village,120,43800
Harlem,110,40150
Chelsea,85,31025
Midtown,299,109135
Prospect-Lefferts Gardens,55,20075
Crown Heights,47,17155
East New York,55,20075
Williamsburg,130,47450
Midwood,40,14600
Williamsburg,150,54750
Williamsburg,70,25550
Midtown,180,65700
Chinatown,90,32850
Murray Hill,120,43800
South Slope,145,52925
Sunnyside,100,36500
East Village,150,54750
Chinatown,125,45625
Harlem,60,21900
Crown Heights,150,54750
Chelsea,190,69350
Upper West Side,145,52925
Inwood,50,18250
Crown Heights,95,34675
Williamsburg,91,33215
Bushwick,145,52925
Morningside Heights,100,36500
Bushwick,35,12775
Midtown,120,43800
East Flatbush,69,25185
Ridgewood,50,18250
Lower East Side,290,105850
Sheepshead Bay,50,18250
East Village,545,198925
Flatlands,200,73000
Park Slope,180,65700
Kips Bay,10,3650
Port Richmond,47,17155
Upper East Side,175,63875
Long Island City,75,27375
East New York,45,16425
Upper East Side,275,100375
Morrisania,23,8395
Upper West Side,95,34675
Murray Hill,199,72635
Harlem,130,47450
Williamsburg,161,58765
Sheepshead Bay,65,23725
Greenpoint,60,21900
Harlem,165,60225
Woodhaven,69,25185
Prospect-Lefferts Gardens,100,36500
Williamsburg,89,32485
Morningside Heights,55,20075
Sheepshead Bay,37,13505
Astoria,80,29200
Sunnyside,80,29200
Cypress Hills,37,13505
East Flatbush,40,14600
Ridgewood,60,21900
Ridgewood,90,32850
East Village,245,89425
Harlem,175,63875
Bushwick,50,18250
Greenpoint,210,76650
Bedford-Stuyvesant,350,127750
Harlem,45,16425
Midtown,300,109500
Crown Heights,155,56575
Boerum Hill,125,45625
Williamsburg,225,82125
Flushing,90,32850
Astoria,110,40150
Bushwick,65,23725
Cypress Hills,125,45625
Bedford-Stuyvesant,35,12775
Upper East Side,150,54750
Upper East Side,299,109135
Crown Heights,50,18250
Gowanus,60,21900
Flatbush,59,21535
Kensington,250,91250
NoHo,185,67525
Woodside,60,21900
Financial District,139,50735
Chinatown,80,29200
Arrochar,33,12045
East Village,89,32485
Woodhaven,69,25185
East Harlem,68,24820
SoHo,185,67525
Greenpoint,100,36500
Hell's Kitchen,116,42340
Williamsburg,140,51100
Harlem,225,82125
Bensonhurst,99,36135
Upper West Side,135,49275
Upper West Side,90,32850
Clinton Hill,160,58400
Upper West Side,148,54020
Bedford-Stuyvesant,60,21900
Bushwick,200,73000
Midtown,125,45625
Midtown,150,54750
Kips Bay,125,45625
Murray Hill,125,45625
Upper East Side,185,67525
Sheepshead Bay,65,23725
Upper West Side,85,31025
Woodhaven,89,32485
Washington Heights,150,54750
Hell's Kitchen,300,109500
Westchester Square,65,23725
Morningside Heights,110,40150
Windsor Terrace,125,45625
Sunnyside,75,27375
Bedford-Stuyvesant,145,52925
Crown Heights,65,23725
Financial District,142,51830
Greenpoint,200,73000
Financial District,225,82125
Hell's Kitchen,235,85775
Upper East Side,200,73000
Roosevelt Island,50,18250
East Flatbush,36,13140
Midwood,75,27375
Lower East Side,60,21900
Harlem,247,90155
Greenpoint,295,107675
Bedford-Stuyvesant,80,29200
Woodhaven,99,36135
Sheepshead Bay,36,13140
Chelsea,400,146000
Chinatown,73,26645
Upper East Side,117,42705
Tribeca,323,117895
Williamsburg,1000,365000
Upper West Side,100,36500
Chelsea,265,96725
Financial District,145,52925
Chelsea,255,93075
Financial District,209,76285
Greenwich Village,300,109500
East Village,101,36865
Bedford-Stuyvesant,60,21900
Financial District,185,67525
Hell's Kitchen,65,23725
Financial District,222,81030
Midtown,250,91250
Bedford-Stuyvesant,80,29200
East Harlem,140,51100
Brighton Beach,110,40150
Murray Hill,200,73000
Harlem,100,36500
Financial District,175,63875
Chelsea,255,93075
Greenpoint,112,40880
Crown Heights,70,25550
Fort Greene,102,37230
Prospect Heights,50,18250
Harlem,75,27375
Crown Heights,974,355510
Lower East Side,33,12045
Upper West Side,55,20075
Bushwick,50,18250
Kensington,62,22630
Crown Heights,119,43435
Red Hook,52,18980
Washington Heights,45,16425
Hell's Kitchen,160,58400
Clinton Hill,162,59130
SoHo,205,74825
Bushwick,86,31390
Harlem,65,23725
Lower East Side,85,31025
Flatbush,61,22265
Upper East Side,75,27375
Fresh Meadows,79,28835
Lower East Side,93,33945
Lower East Side,32,11680
Harlem,119,43435
Williamsburg,150,54750
East Village,129,47085
Arrochar,35,12775
East Harlem,51,18615
Theater District,120,43800
East Elmhurst,78,28470
Harlem,100,36500
Greenpoint,114,41610
Bedford-Stuyvesant,35,12775
Murray Hill,150,54750
Washington Heights,75,27375
Williamsburg,128,46720
Washington Heights,160,58400
Sunset Park,100,36500
Upper East Side,199,72635
Bedford-Stuyvesant,100,36500
Midtown,170,62050
Bedford-Stuyvesant,99,36135
Lower East Side,35,12775
West Village,175,63875
Midtown,400,146000
Mott Haven,125,45625
Harlem,75,27375
Kips Bay,271,98915
